,first,second,label
57,['Organic Whole Milk'],['Organic Diced Tomatoes'],3
58,['Organic Whole Grain Oatmeal Cereal Baby Food'],['Organic Whole Milk'],3
59,['Organic Whole Milk'],['Organic Whole Grain Oatmeal Cereal Baby Food'],3
60,['Organic Whole Grain Oatmeal Cereal Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
61,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Whole Grain Oatmeal Cereal Baby Food'],3
62,['Gluten Free SpongeBob Spinach Littles'],['Organic Whole Milk'],3
63,['Organic Whole Milk'],['Gluten Free SpongeBob Spinach Littles'],3
64,['Gluten Free SpongeBob Spinach Littles'],['Kids Sensible Foods Broccoli Littles'],3
65,['Kids Sensible Foods Broccoli Littles'],['Gluten Free SpongeBob Spinach Littles'],3
66,['First Prunes'],['Organic Whole Milk'],3
67,['Organic Whole Milk'],['First Prunes'],3
68,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],3
69,['Broccoli & Apple Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
70,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
71,['Broccoli & Apple Stage 2 Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
72,['Broccoli & Apple Stage 2 Baby Food'],['Blueberries'],3
73,['Blueberries'],['Broccoli & Apple Stage 2 Baby Food'],3
74,['Baby Food Stage 2 Pumpkin Banana'],['Broccoli & Apple Stage 2 Baby Food'],3
75,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],3
76,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],3
77,['Broccoli & Apple Stage 2 Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
78,['Broccoli & Apple Stage 2 Baby Food'],['Organic Frozen Peas'],3
79,['Organic Frozen Peas'],['Broccoli & Apple Stage 2 Baby Food'],3
80,['Organic Mixed Berry Yogurt & Fruit Snack'],['Broccoli & Apple Stage 2 Baby Food'],3
81,['Broccoli & Apple Stage 2 Baby Food'],['Organic Mixed Berry Yogurt & Fruit Snack'],3
82,['Organic Whole String Cheese'],['Broccoli & Apple Stage 2 Baby Food'],3
83,['Broccoli & Apple Stage 2 Baby Food'],['Organic Whole String Cheese'],3
84,['Organic Stage 2 Broccoli Pears & Peas Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
85,['Broccoli & Apple Stage 2 Baby Food'],['Organic Stage 2 Broccoli Pears & Peas Baby Food'],3
86,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",['Broccoli & Apple Stage 2 Baby Food'],3
87,['Broccoli & Apple Stage 2 Baby Food'],"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",3
88,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
89,['Broccoli & Apple Stage 2 Baby Food'],['Organic Stage 4 Green Bean Pear & Pea Baby Food'],3
90,['Broccoli & Apple Stage 2 Baby Food'],['Organic Black Beans'],3
91,['Organic Black Beans'],['Broccoli & Apple Stage 2 Baby Food'],3
92,['Broccoli & Apple Stage 2 Baby Food'],['Organic Whole Milk'],3
93,['Organic Whole Milk'],['Broccoli & Apple Stage 2 Baby Food'],3
94,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
95,['Broccoli & Apple Stage 2 Baby Food'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],3
96,['Original Hummus'],['Broccoli & Apple Stage 2 Baby Food'],3
97,['Broccoli & Apple Stage 2 Baby Food'],['Original Hummus'],3
98,['Extra Virgin Olive Oil'],['Broccoli & Apple Stage 2 Baby Food'],3
99,['Broccoli & Apple Stage 2 Baby Food'],['Extra Virgin Olive Oil'],3
100,['Broccoli & Apple Stage 2 Baby Food'],['Organic Cilantro'],3
101,['Organic Cilantro'],['Broccoli & Apple Stage 2 Baby Food'],3
102,['Grated Parmesan'],['Broccoli & Apple Stage 2 Baby Food'],3
103,['Broccoli & Apple Stage 2 Baby Food'],['Grated Parmesan'],3
104,['Broccoli & Apple Stage 2 Baby Food'],['Organic Italian Parsley Bunch'],3
105,['Organic Italian Parsley Bunch'],['Broccoli & Apple Stage 2 Baby Food'],3
106,['Broccoli & Apple Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],3
107,['Spinach Peas & Pear Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
108,['Organic Stage 3 Pear Carrot Apricot Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
109,['Broccoli & Apple Stage 2 Baby Food'],['Organic Stage 3 Pear Carrot Apricot Baby Food'],3
110,['Pear & Mango Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
111,['Broccoli & Apple Stage 2 Baby Food'],['Pear & Mango Stage 2 Baby Food'],3
112,['Organic Stage 4 Spinach Mango & Pear Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
113,['Broccoli & Apple Stage 2 Baby Food'],['Organic Stage 4 Spinach Mango & Pear Baby Food'],3
114,['Broccoli & Apple Stage 2 Baby Food'],"['Apples, Kale & Avocados Organic Baby Food']",3
115,"['Apples, Kale & Avocados Organic Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],3
116,['Feta Cheese Crumbles'],['Broccoli & Apple Stage 2 Baby Food'],3
117,['Broccoli & Apple Stage 2 Baby Food'],['Feta Cheese Crumbles'],3
118,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Broccoli & Apple Stage 2 Baby Food'],3
119,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
120,['Apple and Carrot Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],3
121,['Broccoli & Apple Stage 2 Baby Food'],['Apple and Carrot Stage 2 Baby Food'],3
122,['Broccoli & Apple Stage 2 Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",3
123,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Broccoli & Apple Stage 2 Baby Food'],3
124,['Organic Whole String Cheese'],['Shredded Parmesan'],3
125,['Shredded Parmesan'],['Organic Whole String Cheese'],3
126,['Organic Whole Milk'],['Shredded Parmesan'],3
127,['Shredded Parmesan'],['Organic Whole Milk'],3
128,['Original Hummus'],['Shredded Parmesan'],3
129,['Shredded Parmesan'],['Original Hummus'],3
130,['Extra Virgin Olive Oil'],['Shredded Parmesan'],3
131,['Shredded Parmesan'],['Extra Virgin Olive Oil'],3
132,['Grated Parmesan'],['Shredded Parmesan'],3
133,['Shredded Parmesan'],['Grated Parmesan'],3
134,['Organic Italian Parsley Bunch'],['Shredded Parmesan'],3
135,['Shredded Parmesan'],['Organic Italian Parsley Bunch'],3
136,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Shredded Parmesan'],3
137,['Shredded Parmesan'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
138,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],3
139,['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
140,['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],3
141,['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],3
142,['Organic Stage 2 Peaches & Bananas Baby Food'],['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],3
143,['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],['Organic Stage 2 Peaches & Bananas Baby Food'],3
144,['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",3
145,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Stage 1 Apples & Strawberries Organic Pureed Baby Food'],3
146,['100% Whole Wheat Bread'],['Spinach Peas & Pear Stage 2 Baby Food'],3
147,['Spinach Peas & Pear Stage 2 Baby Food'],['100% Whole Wheat Bread'],3
148,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Baby Food Stage 2 Pumpkin Banana'],3
149,['Baby Food Stage 2 Pumpkin Banana'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
150,"['Peach,  Apricot & Banana Stage 2 Baby Food']","['Happy Baby Spinach, Mango, and Pear Baby Food']",3
151,"['Happy Baby Spinach, Mango, and Pear Baby Food']","['Peach,  Apricot & Banana Stage 2 Baby Food']",3
152,['Organic Mixed Berry Yogurt & Fruit Snack'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
153,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Organic Mixed Berry Yogurt & Fruit Snack'],3
154,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Organic Whole String Cheese'],3
155,['Organic Whole String Cheese'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
156,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Organic Whole Milk'],3
157,['Organic Whole Milk'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
158,['Stage 2 Sweet Potato Corn & Apple Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
159,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Stage 2 Sweet Potato Corn & Apple Baby Food'],3
160,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Extra Virgin Olive Oil'],3
161,['Extra Virgin Olive Oil'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
162,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Grated Parmesan'],3
163,['Grated Parmesan'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
164,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Organic Italian Parsley Bunch'],3
165,['Organic Italian Parsley Bunch'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
166,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],3
167,['Spinach Peas & Pear Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
168,['Organic Stage 3 Pear Carrot Apricot Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
169,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Organic Stage 3 Pear Carrot Apricot Baby Food'],3
170,['Pear & Mango Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
171,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Pear & Mango Stage 2 Baby Food'],3
172,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
173,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
174,['Apple and Carrot Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",3
175,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Apple and Carrot Stage 2 Baby Food'],3
176,"['Peach,  Apricot & Banana Stage 2 Baby Food']","['Organic Pears, Peas and Broccoli Puree Stage 1']",3
177,"['Organic Pears, Peas and Broccoli Puree Stage 1']","['Peach,  Apricot & Banana Stage 2 Baby Food']",3
178,['Organic Whole String Cheese'],['Organic Thompson Seedless Raisins'],3
179,['Organic Thompson Seedless Raisins'],['Organic Whole String Cheese'],3
180,['Organic Whole Milk'],['Organic Thompson Seedless Raisins'],3
181,['Organic Thompson Seedless Raisins'],['Organic Whole Milk'],3
182,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
183,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
184,['Organic Whole String Cheese'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
185,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Whole String Cheese'],3
186,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
187,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",3
188,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Black Beans'],3
189,['Organic Black Beans'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
190,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Whole Milk'],3
191,['Organic Whole Milk'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
192,['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
193,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],3
194,['Original Hummus'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
195,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Original Hummus'],3
196,['Organic Stage 2 Peaches & Bananas Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
197,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Stage 2 Peaches & Bananas Baby Food'],3
198,['Extra Virgin Olive Oil'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
199,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Extra Virgin Olive Oil'],3
200,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Cilantro'],3
201,['Organic Cilantro'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
202,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Grated Parmesan'],3
203,['Grated Parmesan'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
204,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Italian Parsley Bunch'],3
205,['Organic Italian Parsley Bunch'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
206,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],3
207,['Spinach Peas & Pear Stage 2 Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
208,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Organic Apples, Carrots and Parsnips Puree']",3
209,"['Organic Apples, Carrots and Parsnips Puree']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
210,['Organic Stage 4 Spinach Mango & Pear Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
211,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Stage 4 Spinach Mango & Pear Baby Food'],3
212,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
213,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
214,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",3
215,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],3
216,['Organic Whole Milk'],['YoBaby Peach Pear Yogurt'],3
217,['YoBaby Peach Pear Yogurt'],['Organic Whole Milk'],3
218,['Grated Parmesan'],['YoBaby Peach Pear Yogurt'],3
219,['YoBaby Peach Pear Yogurt'],['Grated Parmesan'],3
220,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",['Organic Apple & Butternut Squash Baby Food'],3
221,['Organic Apple & Butternut Squash Baby Food'],"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",3
222,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],['Organic Apple & Butternut Squash Baby Food'],3
223,['Organic Apple & Butternut Squash Baby Food'],['Organic Stage 4 Green Bean Pear & Pea Baby Food'],3
224,['Organic Apple & Butternut Squash Baby Food'],['Organic Whole Milk'],3
225,['Organic Whole Milk'],['Organic Apple & Butternut Squash Baby Food'],3
226,['Organic Stage 4 Spinach Mango & Pear Baby Food'],['Organic Apple & Butternut Squash Baby Food'],3
227,['Organic Apple & Butternut Squash Baby Food'],['Organic Stage 4 Spinach Mango & Pear Baby Food'],3
228,['Organic Tomato Paste'],['Organic Whole Milk'],3
229,['Organic Whole Milk'],['Organic Tomato Paste'],3
230,['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],['Organic Whole Milk'],3
231,['Organic Whole Milk'],['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],3
232,['Grated Parmesan'],['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],3
233,['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],['Grated Parmesan'],3
234,['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],['Spinach Peas & Pear Stage 2 Baby Food'],3
235,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],3
236,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],3
237,['Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
238,['100% Recycled Paper Towels'],['Organic Whole Milk'],3
239,['Organic Whole Milk'],['100% Recycled Paper Towels'],3
240,['Organic Whole Milk'],['Squash & Sweet Peas Stage 2'],3
241,['Squash & Sweet Peas Stage 2'],['Organic Whole Milk'],3
242,['Spinach Peas & Pear Stage 2 Baby Food'],['Squash & Sweet Peas Stage 2'],3
243,['Squash & Sweet Peas Stage 2'],['Spinach Peas & Pear Stage 2 Baby Food'],3
244,['Pumpkin & Spinach Stage 2 Baby Food'],['Squash & Sweet Peas Stage 2'],3
245,['Squash & Sweet Peas Stage 2'],['Pumpkin & Spinach Stage 2 Baby Food'],3
246,"['Pears, Kale & Spinach Organic Baby Food']","['Apples, Kale & Avocados Organic Baby Food']",3
247,"['Apples, Kale & Avocados Organic Baby Food']","['Pears, Kale & Spinach Organic Baby Food']",3
248,['Organic Whole String Cheese'],['Blueberries'],3
249,['Blueberries'],['Organic Whole String Cheese'],3
250,['Blueberries'],['Organic Whole Milk'],3
251,['Organic Whole Milk'],['Blueberries'],3
252,['Extra Virgin Olive Oil'],['Blueberries'],3
253,['Blueberries'],['Extra Virgin Olive Oil'],3
254,['Grated Parmesan'],['Blueberries'],3
255,['Blueberries'],['Grated Parmesan'],3
256,['Blueberries'],['Spinach Peas & Pear Stage 2 Baby Food'],3
257,['Spinach Peas & Pear Stage 2 Baby Food'],['Blueberries'],3
258,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Blueberries'],3
259,['Blueberries'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
260,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],"['Super Foods/Organic Apples, Spinach, Peas & Broccoli + Super Chia Snack Pouch']",3
261,"['Super Foods/Organic Apples, Spinach, Peas & Broccoli + Super Chia Snack Pouch']",['Organic Stage 4 Green Bean Pear & Pea Baby Food'],3
262,['Organic Whole String Cheese'],['Lightly Salted Baked Snap Pea Crisps'],3
263,['Lightly Salted Baked Snap Pea Crisps'],['Organic Whole String Cheese'],3
264,['Organic Whole Milk'],['Lightly Salted Baked Snap Pea Crisps'],3
265,['Lightly Salted Baked Snap Pea Crisps'],['Organic Whole Milk'],3
266,['Baby Food Stage 2 Pumpkin Banana'],['Organic Whole Milk'],3
267,['Organic Whole Milk'],['Baby Food Stage 2 Pumpkin Banana'],3
268,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],3
269,['Baby Food Stage 2 Pumpkin Banana'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],3
270,['Extra Virgin Olive Oil'],['Baby Food Stage 2 Pumpkin Banana'],3
271,['Baby Food Stage 2 Pumpkin Banana'],['Extra Virgin Olive Oil'],3
272,['Baby Food Stage 2 Pumpkin Banana'],['Spinach Peas & Pear Stage 2 Baby Food'],3
273,['Spinach Peas & Pear Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],3
274,['Pear & Mango Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],3
275,['Baby Food Stage 2 Pumpkin Banana'],['Pear & Mango Stage 2 Baby Food'],3
276,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Baby Food Stage 2 Pumpkin Banana'],3
277,['Baby Food Stage 2 Pumpkin Banana'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],3
278,['Apple and Carrot Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],3
279,['Baby Food Stage 2 Pumpkin Banana'],['Apple and Carrot Stage 2 Baby Food'],3
280,['Organic Mixed Berry Yogurt & Fruit Snack'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
281,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Mixed Berry Yogurt & Fruit Snack'],3
282,['Organic Whole String Cheese'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
283,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Whole String Cheese'],3
284,['Organic Stage 2 Broccoli Pears & Peas Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
285,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Stage 2 Broccoli Pears & Peas Baby Food'],3
286,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']","['Happy Baby Spinach, Mango, and Pear Baby Food']",3
287,"['Happy Baby Spinach, Mango, and Pear Baby Food']","['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",3
288,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
289,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Stage 4 Green Bean Pear & Pea Baby Food'],3
290,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Whole Milk'],3
291,['Organic Whole Milk'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
292,['Original Hummus'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
293,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Original Hummus'],3
294,['Extra Virgin Olive Oil'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",3
